RecordingTimestamp	GazePointIndex	GazePointXLeft	GazePointYLeft	CamX(L)	CamY(L)	DistanceLeft	Pupil(L)	Validity(L)	GazePointXRight	GazePointYRight	CamX(R)	CamY(R)	DistanceRight	Pupil(R)	Validity(R)	Fixation	GazePointX	GazePointY	Event	EventKey	Data 1	Data 2	Description
8	1	650	460	0.672	0.263	670.302	4.883	0	676	418	0.39	0.263	657.964	4.434	0	1	659	442	 	 	 	 	 
28	2	647	483	0.672	0.263	667.286	4.87	0	678	388	0.389	0.263	657.347	4.412	0	1	659	442	 	 	 	 	 
48	3	659	449	0.672	0.264	667.287	4.894	0	663	428	0.389	0.263	657.347	4.512	0	1	659	442	 	 	 	 	 
68	4	649	440	0.672	0.264	667.287	4.953	0	658	449	0.389	0.263	657.347	4.554	0	1	659	442	 	 	 	 	 
88	5	666	423	0.672	0.264	667.287	4.967	0	667	428	0.389	0.263	657.347	4.532	0	1	659	442	 	 	 	 	 
108	6	651	438	0.672	0.264	667.287	4.921	0	669	426	0.39	0.264	657.347	4.555	0	1	659	442	 	 	 	 	 
128	7	649	426	0.672	0.264	668.232	4.963	0	669	430	0.39	0.264	657.7	4.577	0	1	659	442	 	 	 	 	 
148	8	656	459	0.672	0.264	668.232	4.844	0	662	412	0.39	0.264	657.7	4.489	0	1	659	442	 	 	 	 	 
168	9	654	452	0.672	0.264	668.232	4.898	0	648	438	0.39	0.263	657.7	4.53	0	1	659	442	 	 	 	 	 
188	10	660	460	0.673	0.264	668.232	4.891	0	665	447	0.39	0.263	657.7	4.52	0	1	659	442	 	 	 	 	 
208	11	646	460	0.673	0.264	668.232	4.953	0	679	437	0.39	0.263	657.7	4.499	0	1	659	442	 	 	 	 	 
228	12	645	461	0.673	0.264	667.273	4.98	0	678	457	0.39	0.263	656.479	4.509	0	1	659	442	 	 	 	 	 
248	13	655	437	0.673	0.264	667.273	4.853	0	664	425	0.39	0.263	656.479	4.56	0	1	659	442	 	 	 	 	 
268	14	655	433	0.673	0.264	667.273	4.911	0	659	422	0.39	0.263	656.479	4.522	0	1	659	442	 	 	 	 	 
287	15	659	451	0.673	0.264	667.273	4.924	0	663	454	0.39	0.263	656.479	4.558	0	1	659	442	 	 	 	 	 
307	16	657	447	0.673	0.264	667.273	4.914	0	664	458	0.39	0.263	656.479	4.624	0	1	659	442	 	 	 	 	 
327	17	658	452	0.673	0.265	666.307	4.944	0	663	469	0.391	0.264	655.71	4.614	0	1	659	442	 	 	 	 	 
347	18	611	699	0.673	0.269	666.307	4.924	0	602	762	0.392	0.267	655.709	4.597	0	2	604	755	 	 	 	 	 
